investment_id,organization_id,control_id,investment_name,implementation_cost,annual_operating_cost,expected_risk_reduction_percentage,expected_loss_reduction,implementation_time_days,affected_assets,affected_business_units,compliance_benefit,implementation_priority,expected_ROSI
INV-00220,ORG-019,CTRL-0272,Next-Gen Firewall Replacement,1147839,251692,31.6,20545491,72,1095,6,Low,High,1689.9
INV-00221,ORG-019,CTRL-0279,Security Awareness Program,3061783,854645,41.3,31237255,139,1100,6,Low,High,920.2
INV-00222,ORG-019,CTRL-0287,Email Security Enhancement,873135,249094,30.9,8075227,77,796,5,High,Medium,824.9
INV-00223,ORG-019,CTRL-0283,Privileged Access Management Deployment,1043483,209680,37.4,15902760,168,1636,8,High,Medium,1424.0
INV-00224,ORG-019,CTRL-0273,API Security Gateway,1075575,212880,26.2,6739702,53,1640,5,Medium,Medium,526.6
INV-00225,ORG-019,CTRL-0291,Backup & DR Enhancement,2377659,561501,14.4,16416881,104,2633,2,Low,High,590.5
INV-00226,ORG-019,CTRL-0274,SIEM Modernization,2167835,551587,29.4,34822129,50,363,3,Medium,Medium,1506.3
INV-00227,ORG-019,CTRL-0284,Vulnerability Management Automation,5104369,1711347,12.7,28508129,17,2213,6,High,Medium,458.5
INV-00228,ORG-019,CTRL-0282,Incident Response Retainer,2588028,412722,17.0,34308249,47,3000,1,High,Low,1225.7
INV-00229,ORG-019,CTRL-0282,Container Security Platform,3630833,1036406,30.4,21747876,56,70,2,Medium,Medium,499.0
INV-00230,ORG-019,CTRL-0287,Enterprise MFA Rollout,945795,150371,41.0,14018190,66,2491,2,High,High,1382.2
INV-00231,ORG-020,CTRL-0299,Email Security Enhancement,141354,36238,11.0,1933445,179,934,6,Low,High,1267.8
INV-00232,ORG-020,CTRL-0294,Container Security Platform,765089,225936,24.4,12757157,103,1364,1,Low,High,1567.4
INV-00233,ORG-020,CTRL-0297,Threat Intelligence Integration,492535,138191,10.4,9754918,90,2406,6,High,High,1880.6
INV-00234,ORG-020,CTRL-0297,Vulnerability Management Automation,144074,25844,32.1,1648172,132,501,6,Medium,High,1044.0
INV-00235,ORG-020,CTRL-0297,Data Encryption Expansion,572535,200384,33.3,8825794,43,2508,8,Medium,High,1441.5
INV-00236,ORG-020,CTRL-0294,DLP Implementation,276882,70985,30.5,1178542,175,509,5,High,Critical,325.6
INV-00237,ORG-020,CTRL-0298,Cloud Security Posture Hardening,246359,64525,11.1,3238837,52,707,2,High,Medium,1214.7
INV-00238,ORG-020,CTRL-0296,SIEM Modernization,735680,203402,17.1,9503169,21,889,4,Medium,Medium,1191.8
INV-00239,ORG-020,CTRL-0294,API Security Gateway,412856,131587,31.5,7317393,114,2911,5,Low,High,1672.4
INV-00240,ORG-020,CTRL-0300,Security Awareness Program,473272,131483,33.5,2892698,86,2623,2,High,Critical,511.2
INV-00241,ORG-021,CTRL-0306,Email Security Enhancement,434813,151578,30.5,5966523,119,588,7,High,Medium,1272.2
INV-00242,ORG-021,CTRL-0307,Data Encryption Expansion,271927,89468,31.3,1246457,159,1182,5,Medium,Medium,358.4
INV-00243,ORG-021,CTRL-0310,Zero Trust Network Access,797625,184928,10.9,15075984,42,701,8,High,Medium,1790.1
INV-00244,ORG-021,CTRL-0323,DLP Implementation,796932,183112,38.7,11346967,30,2580,7,Low,Low,1323.8
INV-00245,ORG-021,CTRL-0324,Privileged Access Management Deployment,1941664,447895,25.5,13978701,167,2256,7,Medium,High,619.9
INV-00246,ORG-021,CTRL-0323,API Security Gateway,1156890,280148,36.9,13418288,90,950,5,High,Critical,1059.9
INV-00247,ORG-021,CTRL-0305,Backup & DR Enhancement,1686682,329476,38.8,11510197,137,2842,7,Low,Medium,582.4
INV-00248,ORG-021,CTRL-0323,Network Segmentation Project,1613916,316120,25.5,7664219,45,2064,5,Low,Medium,374.9
INV-00249,ORG-021,CTRL-0307,Security Operations Center Expansion,1310053,247517,38.3,17278485,95,2816,6,High,Medium,1218.9
INV-00250,ORG-021,CTRL-0317,SIEM Modernization,1275585,360053,22.1,11107981,115,1595,3,Low,High,770.8
INV-00251,ORG-021,CTRL-0313,Enterprise MFA Rollout,273440,70059,34.2,4518715,65,651,6,Medium,Medium,1552.5
INV-00252,ORG-021,CTRL-0307,Next-Gen Firewall Replacement,1193816,240619,45.0,16736813,175,1607,2,High,High,1302.0
INV-00253,ORG-022,CTRL-0341,DLP Implementation,2298705,557349,30.3,32402263,127,2873,5,Medium,High,1309.6
INV-00254,ORG-022,CTRL-0331,Vulnerability Management Automation,3211149,694425,18.2,33641405,88,1470,6,Medium,Medium,947.6
INV-00255,ORG-022,CTRL-0342,Security Operations Center Expansion,451546,138277,17.4,2221624,54,2908,1,High,High,392.0
INV-00256,ORG-022,CTRL-0327,Email Security Enhancement,2370268,653416,44.7,39094209,94,2003,1,Medium,High,1549.4
INV-00257,ORG-022,CTRL-0340,SIEM Modernization,4958218,937611,13.5,67796087,40,2878,6,Medium,Medium,1267.3
INV-00258,ORG-022,CTRL-0342,EDR Platform Upgrade,2016974,550190,34.3,14016465,75,1889,5,Medium,Medium,594.9
INV-00259,ORG-022,CTRL-0342,Identity Governance Upgrade,4523667,705936,14.0,64884012,121,2942,3,Medium,Critical,1334.3
INV-00260,ORG-022,CTRL-0340,Threat Intelligence Integration,2632415,754671,18.0,12480117,106,353,5,Medium,Medium,374.1
INV-00261,ORG-022,CTRL-0338,API Security Gateway,1044739,262320,16.8,13031081,173,2352,2,Medium,High,1147.3
INV-00262,ORG-022,CTRL-0329,Network Segmentation Project,5606234,1595503,19.7,106154340,97,1724,1,Low,Low,1793.5
INV-00263,ORG-023,CTRL-0351,Data Encryption Expansion,1468680,239041,10.1,24242156,110,788,6,High,High,1550.6
INV-00264,ORG-023,CTRL-0347,Security Operations Center Expansion,2892854,832281,14.1,26845467,177,2520,8,High,High,828.0
INV-00265,ORG-023,CTRL-0351,Zero Trust Network Access,3451399,861087,13.5,23849119,98,1524,1,Medium,Low,591.0
INV-00266,ORG-023,CTRL-0346,Enterprise MFA Rollout,4750202,1580607,17.8,23698965,18,2349,4,Low,Critical,398.9
INV-00267,ORG-023,CTRL-0351,Backup & DR Enhancement,3986291,1355684,17.5,47085823,45,305,4,Low,Critical,1081.2
INV-00268,ORG-023,CTRL-0346,Vulnerability Management Automation,4149386,791432,17.1,37010579,161,2426,1,High,Low,792.0
INV-00269,ORG-023,CTRL-0350,Network Segmentation Project,396136,135796,23.6,6268896,90,2867,7,Low,Critical,1482.5
INV-00270,ORG-023,CTRL-0350,Incident Response Retainer,1112178,206557,14.9,8011437,95,1003,8,High,Medium,620.3
INV-00271,ORG-023,CTRL-0349,Container Security Platform,1480928,420606,37.4,20392925,28,102,8,Medium,High,1277.0
INV-00272,ORG-023,CTRL-0347,EDR Platform Upgrade,3679197,572005,31.7,48066066,138,2707,5,Low,Critical,1206.4
INV-00273,ORG-023,CTRL-0347,DLP Implementation,549421,160500,38.6,8651786,119,1204,4,High,Medium,1474.7
INV-00274,ORG-024,CTRL-0374,API Security Gateway,2934545,847036,19.4,27024468,20,79,8,Low,High,820.9
INV-00275,ORG-024,CTRL-0354,DLP Implementation,1353306,423296,38.5,25141341,106,110,8,Low,Low,1757.8
INV-00276,ORG-024,CTRL-0357,Network Segmentation Project,2284227,751577,35.6,29737384,155,1765,5,Low,Medium,1201.9
INV-00277,ORG-024,CTRL-0374,Enterprise MFA Rollout,1866314,595519,38.5,23077781,116,246,4,Low,High,1136.5
INV-00278,ORG-024,CTRL-0358,Backup & DR Enhancement,2430013,837735,12.2,25260862,135,2221,6,Medium,Low,939.5
INV-00279,ORG-024,CTRL-0360,Zero Trust Network Access,1707692,453384,10.8,22231498,165,1620,7,Medium,Medium,1201.8
INV-00280,ORG-024,CTRL-0366,Privileged Access Management Deployment,2906235,884069,25.1,35261256,98,1357,4,Medium,Critical,1113.3
INV-00281,ORG-024,CTRL-0361,Email Security Enhancement,2189814,434289,29.8,26352129,136,2807,3,Medium,Medium,1103.4
INV-00282,ORG-025,CTRL-0378,Data Encryption Expansion,190761,48422,20.2,2576910,176,2300,3,High,Critical,1250.9
INV-00283,ORG-025,CTRL-0382,Next-Gen Firewall Replacement,564894,84777,28.7,2403517,174,2348,1,Low,High,325.5
INV-00284,ORG-025,CTRL-0385,Network Segmentation Project,291252,96221,41.7,1834744,15,1856,5,Medium,Medium,530.0
INV-00285,ORG-025,CTRL-0388,DLP Implementation,229869,60253,26.5,936343,165,1127,4,High,High,307.3
INV-00286,ORG-025,CTRL-0392,EDR Platform Upgrade,376032,112601,19.2,1628363,62,525,8,Medium,Critical,333.0
INV-00287,ORG-025,CTRL-0378,Backup & DR Enhancement,30280,8702,35.4,311602,74,2176,6,Medium,Critical,929.1
INV-00288,ORG-025,CTRL-0389,Email Security Enhancement,162043,54623,15.3,2155693,47,256,5,Low,Low,1230.3
INV-00289,ORG-025,CTRL-0388,Security Awareness Program,723036,134303,43.5,6161074,43,2747,5,Low,High,752.1
INV-00290,ORG-025,CTRL-0379,API Security Gateway,274209,88151,31.0,5228318,101,2006,5,Low,High,1806.7
INV-00291,ORG-025,CTRL-0382,Cloud Security Posture Hardening,701558,148121,10.1,7248259,151,274,4,Medium,High,933.2
INV-00292,ORG-025,CTRL-0392,Vulnerability Management Automation,789609,155660,13.1,14854062,173,171,6,Medium,Critical,1781.2
