asset_id,organization_id,business_unit_id,asset_name,asset_type,operating_system,environment,cloud_provider,region,internet_exposed,asset_owner,business_service,data_classification,asset_criticality,confidentiality_score,integrity_score,availability_score,revenue_dependency,customer_dependency,regulatory_dependency,dependency_count,asset_age_days,current_risk_score
AST-01602,ORG-011,BU-0065,Workstation 1602,Workstation,Ubuntu 22.04,Development,Azure,eu-west-1,False,owner_28@corp.com,Supply Chain,Internal,Low,1,1,3,0.25,0.18,0.12,14,2367,2.0
AST-01603,ORG-012,BU-0075,VPN Gateway 1603,VPN Gateway,Linux,Production,On-Premise,ap-south-1,False,owner_144@corp.com,File Sharing,Public,Medium,6,6,6,0.47,0.27,0.23,13,2106,3.2
AST-01604,ORG-013,BU-0079,VPN Gateway 1604,VPN Gateway,Linux,Production,Azure,eu-west-1,True,owner_49@corp.com,File Sharing,Confidential,Critical,10,8,10,0.74,0.27,0.23,6,1773,9.2
AST-01605,ORG-007,BU-0038,CI/CD Server 1605,CI/CD Server,Linux,Development,Azure,us-east-1,False,owner_420@corp.com,Payment Processing,Confidential,Low,2,2,2,0.44,0.36,0.39,15,1650,1.1
AST-01606,ORG-001,BU-0002,Database Server 1606,Database Server,Linux,Production,On-Premise,ap-south-1,False,owner_381@corp.com,DevOps Pipeline,Highly Confidential,High,6,8,8,0.83,0.25,0.92,13,2346,7.2
AST-01607,ORG-010,BU-0061,File Server 1607,File Server,Linux,Production,On-Premise,eu-west-1,True,owner_464@corp.com,Payment Processing,Highly Confidential,Critical,10,8,8,0.56,0.94,0.55,0,2069,7.8
AST-01608,ORG-007,BU-0042,Network Device 1608,Network Device,Proprietary,Production,On-Premise,eu-west-1,True,owner_438@corp.com,API Platform,Confidential,High,7,8,9,0.69,0.81,0.26,0,894,6.0
AST-01609,ORG-004,BU-0022,Workstation 1609,Workstation,Ubuntu 22.04,Development,On-Premise,ap-southeast-1,False,owner_80@corp.com,Security Ops,Internal,Low,1,3,1,0.17,0.39,0.16,11,144,1.7
AST-01610,ORG-013,BU-0077,Storage Bucket 1610,Storage Bucket,N/A,Development,Azure,eu-west-1,False,owner_264@corp.com,DevOps Pipeline,Public,Low,2,2,1,0.28,0.31,0.33,8,2360,1.3
AST-01611,ORG-021,BU-0128,Payment Gateway 1611,Payment Gateway,Linux,Production,On-Premise,ap-southeast-1,False,owner_424@corp.com,Communication,Highly Confidential,Critical,10,10,10,0.39,0.15,0.6,6,1051,9.8
AST-01612,ORG-016,BU-0097,Email Server 1612,Email Server,Linux,Production,GCP,eu-west-1,False,owner_221@corp.com,CRM,Confidential,High,7,8,8,0.4,0.06,0.23,10,1189,5.7
AST-01613,ORG-018,BU-0112,IoT Device 1613,IoT Device,Embedded,Production,Azure,us-east-1,False,owner_183@corp.com,File Sharing,Highly Confidential,High,6,6,9,0.88,0.19,0.79,6,444,6.6
AST-01614,ORG-010,BU-0060,Application Server 1614,Application Server,Linux,Production,AWS,us-east-1,False,owner_161@corp.com,ERP,Highly Confidential,Critical,10,9,8,0.69,0.05,0.72,10,879,10
AST-01615,ORG-020,BU-0122,Email Server 1615,Email Server,Windows Server 2019,Production,On-Premise,ap-southeast-1,False,owner_77@corp.com,File Sharing,Highly Confidential,High,8,9,7,0.95,0.09,0.65,10,568,5.4
AST-01616,ORG-015,BU-0089,IoT Device 1616,IoT Device,Embedded,Production,GCP,eu-west-1,False,owner_217@corp.com,Core Banking,Confidential,Critical,8,10,8,0.54,0.25,0.34,8,657,10
AST-01617,ORG-022,BU-0130,Database Server 1617,Database Server,Linux,Production,On-Premise,us-east-1,False,owner_480@corp.com,CRM,Confidential,High,6,7,9,0.4,0.17,0.24,1,1150,4.7
AST-01618,ORG-006,BU-0037,Workstation 1618,Workstation,Ubuntu 22.04,Production,On-Premise,ap-southeast-1,True,owner_279@corp.com,DevOps Pipeline,Confidential,High,8,9,7,0.63,0.41,0.29,9,834,6.3
AST-01619,ORG-011,BU-0067,Database Server 1619,Database Server,Linux,Production,AWS,ap-southeast-1,False,owner_163@corp.com,Customer Portal,Internal,Medium,5,4,5,0.38,0.28,0.47,4,255,5.5
AST-01620,ORG-009,BU-0051,Application Server 1620,Application Server,Linux,Development,On-Premise,ap-southeast-1,False,owner_236@corp.com,ERP,Highly Confidential,Low,1,1,2,0.13,0.17,0.8,1,2081,1.6
AST-01621,ORG-003,BU-0010,API Gateway 1621,API Gateway,Linux,Staging,On-Premise,eu-west-1,False,owner_404@corp.com,Payment Processing,Highly Confidential,Medium,4,4,4,0.2,0.12,0.76,3,1329,5.7
AST-01622,ORG-011,BU-0068,Email Server 1622,Email Server,Linux,Production,GCP,ap-southeast-1,False,owner_414@corp.com,Email,Confidential,High,9,8,7,0.95,0.04,0.37,11,1949,7.6
AST-01623,ORG-002,BU-0006,SaaS Application 1623,SaaS Application,SaaS,Production,On-Premise,ap-south-1,False,owner_99@corp.com,Supply Chain,Highly Confidential,Critical,10,8,10,0.43,0.39,0.54,4,2417,10
AST-01624,ORG-007,BU-0039,Network Device 1624,Network Device,Proprietary,Production,AWS,ap-south-1,False,owner_421@corp.com,Payment Processing,Highly Confidential,Critical,9,10,8,0.43,0.05,0.97,3,237,9.4
AST-01625,ORG-024,BU-0142,File Server 1625,File Server,Linux,Production,On-Premise,ap-south-1,True,owner_449@corp.com,CRM,Confidential,High,7,7,6,0.85,0.51,0.25,1,1113,8.4
AST-01626,ORG-006,BU-0037,Web Server 1626,Web Server,Windows Server 2022,Production,On-Premise,ap-south-1,False,owner_409@corp.com,DevOps Pipeline,Highly Confidential,High,9,9,9,0.88,0.29,0.83,7,63,7.1
AST-01627,ORG-006,BU-0036,Domain Controller 1627,Domain Controller,Windows Server 2022,Production,On-Premise,ap-southeast-1,False,owner_436@corp.com,Payment Processing,Confidential,High,6,9,9,0.56,0.34,0.18,3,1953,6.3
AST-01628,ORG-001,BU-0002,Storage Bucket 1628,Storage Bucket,N/A,Production,On-Premise,us-east-1,False,owner_417@corp.com,Data Analytics,Confidential,Critical,10,9,8,0.96,0.22,0.29,10,584,10
AST-01629,ORG-001,BU-0004,VPN Gateway 1629,VPN Gateway,Linux,Production,On-Premise,us-east-1,False,owner_214@corp.com,Data Analytics,Highly Confidential,High,7,6,7,0.64,0.29,0.82,12,1038,9.2
AST-01630,ORG-004,BU-0023,Workstation 1630,Workstation,Ubuntu 22.04,Development,Azure,ap-southeast-1,False,owner_462@corp.com,Email,Highly Confidential,Low,2,1,1,0.29,0.14,0.56,9,2034,2.0
AST-01631,ORG-008,BU-0043,File Server 1631,File Server,Windows Server 2019,Production,Azure,us-east-1,False,owner_8@corp.com,Data Analytics,Highly Confidential,High,9,6,9,0.96,0.29,0.55,0,101,5.1
AST-01632,ORG-009,BU-0052,Storage Bucket 1632,Storage Bucket,N/A,Development,AWS,ap-south-1,False,owner_175@corp.com,Customer Portal,Public,Medium,4,5,5,0.37,0.35,0.07,4,836,2.9
AST-01633,ORG-014,BU-0087,IoT Device 1633,IoT Device,Embedded,Production,On-Premise,ap-southeast-1,True,owner_12@corp.com,File Sharing,Internal,Medium,5,6,3,0.29,0.33,0.48,14,2431,4.7
AST-01634,ORG-021,BU-0126,SaaS Application 1634,SaaS Application,SaaS,Production,GCP,ap-southeast-1,True,owner_314@corp.com,CRM,Highly Confidential,High,7,8,7,0.59,0.29,0.68,0,1469,10
AST-01635,ORG-001,BU-0001,IoT Device 1635,IoT Device,Embedded,Production,GCP,us-east-1,False,owner_397@corp.com,Supply Chain,Highly Confidential,Critical,8,9,10,0.75,0.3,0.61,6,1204,10
AST-01636,ORG-019,BU-0116,Payment Gateway 1636,Payment Gateway,Linux,Production,On-Premise,ap-south-1,True,owner_306@corp.com,Security Ops,Confidential,High,8,6,7,0.32,0.43,0.26,11,2102,10
AST-01637,ORG-003,BU-0011,Email Server 1637,Email Server,Windows Server 2019,Production,GCP,ap-southeast-1,False,owner_270@corp.com,File Sharing,Confidential,Medium,4,4,5,0.41,0.08,0.09,13,156,4.0
AST-01638,ORG-005,BU-0031,SaaS Application 1638,SaaS Application,SaaS,Production,Azure,eu-west-1,False,owner_314@corp.com,File Sharing,Highly Confidential,High,7,9,6,0.36,0.33,0.91,14,542,5.4
AST-01639,ORG-007,BU-0039,Network Device 1639,Network Device,Proprietary,Production,AWS,ap-south-1,False,owner_476@corp.com,DevOps Pipeline,Highly Confidential,High,6,6,6,0.73,0.25,0.98,6,638,9.0
AST-01640,ORG-004,BU-0019,Database Server 1640,Database Server,Linux,Production,Azure,us-east-1,False,owner_318@corp.com,Security Ops,Highly Confidential,High,7,7,7,0.89,0.32,0.57,5,1498,5.8
AST-01641,ORG-006,BU-0037,IoT Device 1641,IoT Device,Embedded,Production,Azure,us-east-1,True,owner_130@corp.com,Payment Processing,Internal,Medium,5,5,4,0.22,0.57,0.29,4,77,5.5
AST-01642,ORG-013,BU-0081,Firewall 1642,Firewall,Proprietary,Production,Azure,eu-west-1,False,owner_325@corp.com,API Platform,Internal,Medium,5,4,3,0.3,0.07,0.0,13,2306,2.7
AST-01643,ORG-012,BU-0073,IAM System 1643,IAM System,SaaS,Production,On-Premise,ap-southeast-1,False,owner_136@corp.com,Data Analytics,Confidential,Critical,10,10,10,0.41,0.11,0.31,14,1585,6.3
AST-01644,ORG-011,BU-0065,Network Device 1644,Network Device,Proprietary,Production,Azure,eu-west-1,True,owner_479@corp.com,File Sharing,Highly Confidential,Critical,10,10,9,0.34,0.88,0.7,12,2341,9.2
AST-01645,ORG-022,BU-0135,VPN Gateway 1645,VPN Gateway,Linux,Production,AWS,eu-west-1,False,owner_140@corp.com,Core Banking,Confidential,Critical,10,10,8,0.73,0.4,0.02,10,1198,6.6
AST-01646,ORG-018,BU-0112,Cloud VM 1646,Cloud VM,Linux,Development,Azure,us-east-1,False,owner_73@corp.com,File Sharing,Public,Medium,5,3,5,0.08,0.08,0.01,6,738,5.1
AST-01647,ORG-007,BU-0039,File Server 1647,File Server,Windows Server 2019,Production,On-Premise,eu-west-1,True,owner_106@corp.com,Communication,Highly Confidential,Critical,10,9,10,0.57,0.23,0.68,15,2057,10
AST-01648,ORG-007,BU-0039,IAM System 1648,IAM System,SaaS,Production,On-Premise,ap-south-1,True,owner_87@corp.com,DevOps Pipeline,Confidential,High,7,8,6,0.64,0.36,0.32,9,1679,7.2
AST-01649,ORG-006,BU-0034,File Server 1649,File Server,Windows Server 2019,Production,On-Premise,ap-south-1,False,owner_337@corp.com,Customer Portal,Confidential,Critical,9,8,8,0.9,0.39,0.07,15,1318,10
AST-01650,ORG-002,BU-0008,Employee Laptop 1650,Employee Laptop,Windows 11,Production,On-Premise,ap-southeast-1,False,owner_441@corp.com,HR System,Confidential,High,7,7,7,0.66,0.35,0.02,0,2278,4.2
AST-01651,ORG-021,BU-0126,Network Device 1651,Network Device,Proprietary,Production,AWS,ap-southeast-1,False,owner_171@corp.com,HR System,Confidential,Critical,9,10,10,0.54,0.28,0.08,5,2137,5.7
AST-01652,ORG-001,BU-0005,Email Server 1652,Email Server,Linux,Production,Azure,ap-southeast-1,False,owner_343@corp.com,Communication,Confidential,High,7,6,6,0.36,0.19,0.03,7,292,7.4
AST-01653,ORG-004,BU-0024,VPN Gateway 1653,VPN Gateway,Linux,Production,Azure,us-east-1,False,owner_120@corp.com,Email,Confidential,Critical,10,10,9,0.79,0.07,0.02,13,1055,9.9
AST-01654,ORG-023,BU-0136,CI/CD Server 1654,CI/CD Server,Linux,Development,On-Premise,eu-west-1,False,owner_342@corp.com,ERP,Public,Medium,6,5,5,0.08,0.19,0.01,10,2086,4.3
AST-01655,ORG-012,BU-0070,SaaS Application 1655,SaaS Application,SaaS,Production,On-Premise,ap-southeast-1,True,owner_227@corp.com,Communication,Confidential,Critical,10,10,10,0.76,0.76,0.0,9,136,10
AST-01656,ORG-020,BU-0122,CI/CD Server 1656,CI/CD Server,Linux,Development,AWS,ap-southeast-1,False,owner_485@corp.com,Email,Highly Confidential,Low,3,3,2,0.48,0.02,0.6,0,745,1.7
AST-01657,ORG-004,BU-0024,API Gateway 1657,API Gateway,Linux,Staging,AWS,eu-west-1,False,owner_454@corp.com,Payment Processing,Highly Confidential,Low,2,1,3,0.15,0.18,0.67,6,1791,2.0
AST-01658,ORG-010,BU-0061,Workstation 1658,Workstation,Ubuntu 22.04,Development,On-Premise,ap-south-1,False,owner_389@corp.com,API Platform,Confidential,Low,1,1,3,0.21,0.37,0.14,2,1240,1.6
AST-01659,ORG-004,BU-0019,IoT Device 1659,IoT Device,Embedded,Production,AWS,us-east-1,False,owner_260@corp.com,Supply Chain,Highly Confidential,High,6,7,6,0.83,0.18,0.83,2,427,7.3
AST-01660,ORG-024,BU-0142,Web Server 1660,Web Server,Windows Server 2022,Staging,AWS,ap-southeast-1,False,owner_363@corp.com,Data Analytics,Internal,Low,2,3,1,0.28,0.21,0.25,0,1386,1.0
AST-01661,ORG-019,BU-0119,VPN Gateway 1661,VPN Gateway,Linux,Production,On-Premise,ap-southeast-1,False,owner_255@corp.com,Payment Processing,Confidential,High,6,9,7,0.5,0.23,0.11,9,1335,8.8
AST-01662,ORG-021,BU-0125,IAM System 1662,IAM System,SaaS,Production,AWS,ap-southeast-1,False,owner_51@corp.com,API Platform,Highly Confidential,Medium,3,4,5,0.24,0.01,0.6,1,1616,5.9
AST-01663,ORG-009,BU-0055,Workstation 1663,Workstation,Ubuntu 22.04,Development,On-Premise,ap-south-1,False,owner_190@corp.com,Payment Processing,Public,Medium,4,4,5,0.24,0.07,0.36,11,1920,3.9
AST-01664,ORG-007,BU-0042,Workstation 1664,Workstation,Windows 11,Production,On-Premise,us-east-1,False,owner_40@corp.com,Communication,Public,Medium,6,6,4,0.16,0.07,0.3,12,530,3.2
AST-01665,ORG-003,BU-0017,Email Server 1665,Email Server,Windows Server 2019,Production,GCP,us-east-1,False,owner_271@corp.com,ERP,Confidential,Medium,5,5,3,0.05,0.02,0.49,9,586,5.4
AST-01666,ORG-024,BU-0142,Kubernetes Cluster 1666,Kubernetes Cluster,Linux,Staging,On-Premise,ap-southeast-1,False,owner_410@corp.com,File Sharing,Internal,Low,3,1,2,0.32,0.06,0.18,0,1059,2.2
AST-01667,ORG-003,BU-0013,Email Server 1667,Email Server,Linux,Production,AWS,ap-south-1,False,owner_323@corp.com,Data Analytics,Highly Confidential,High,8,8,7,0.71,0.4,0.55,12,1796,5.5
AST-01668,ORG-004,BU-0020,Domain Controller 1668,Domain Controller,Windows Server 2022,Production,Azure,us-east-1,False,owner_300@corp.com,Customer Portal,Public,Medium,4,3,3,0.07,0.01,0.35,12,2388,3.8
AST-01669,ORG-015,BU-0096,Domain Controller 1669,Domain Controller,Windows Server 2022,Production,AWS,eu-west-1,True,owner_160@corp.com,Payment Processing,Highly Confidential,Medium,3,3,3,0.39,0.73,0.55,4,1734,6.7
AST-01670,ORG-021,BU-0128,Network Device 1670,Network Device,Proprietary,Production,AWS,eu-west-1,False,owner_113@corp.com,Payment Processing,Confidential,Critical,10,10,10,0.89,0.11,0.25,9,162,5.6
AST-01671,ORG-010,BU-0057,Payment Gateway 1671,Payment Gateway,Linux,Production,AWS,ap-south-1,True,owner_243@corp.com,HR System,Internal,Medium,5,4,6,0.18,0.84,0.05,8,2359,6.0
AST-01672,ORG-016,BU-0102,File Server 1672,File Server,Windows Server 2019,Production,On-Premise,us-east-1,False,owner_469@corp.com,Supply Chain,Highly Confidential,Critical,10,8,8,0.39,0.21,0.53,3,141,7.2
AST-01673,ORG-008,BU-0048,IAM System 1673,IAM System,SaaS,Production,GCP,ap-south-1,False,owner_14@corp.com,Supply Chain,Highly Confidential,Critical,10,10,9,0.84,0.01,0.52,1,75,6.3
AST-01674,ORG-010,BU-0061,Kubernetes Cluster 1674,Kubernetes Cluster,Linux,Staging,On-Premise,us-east-1,False,owner_303@corp.com,File Sharing,Confidential,Low,1,2,3,0.28,0.33,0.45,9,2114,2.3
AST-01675,ORG-020,BU-0123,Web Server 1675,Web Server,Linux,Production,AWS,ap-southeast-1,False,owner_319@corp.com,File Sharing,Internal,Medium,5,6,3,0.46,0.37,0.35,4,1271,4.1
AST-01676,ORG-008,BU-0047,Employee Laptop 1676,Employee Laptop,Windows 11,Production,On-Premise,ap-southeast-1,False,owner_124@corp.com,Communication,Confidential,High,8,9,9,0.76,0.15,0.48,0,249,7.6
AST-01677,ORG-014,BU-0085,CI/CD Server 1677,CI/CD Server,Linux,Development,AWS,us-east-1,False,owner_412@corp.com,API Platform,Highly Confidential,Low,3,3,1,0.01,0.34,0.59,4,1064,1.0
AST-01678,ORG-019,BU-0120,Employee Laptop 1678,Employee Laptop,macOS Ventura,Production,On-Premise,eu-west-1,False,owner_82@corp.com,Security Ops,Confidential,High,9,6,7,0.91,0.06,0.39,3,2174,4.9
AST-01679,ORG-024,BU-0141,Employee Laptop 1679,Employee Laptop,macOS Ventura,Production,On-Premise,ap-south-1,True,owner_341@corp.com,Supply Chain,Highly Confidential,High,8,8,6,0.48,0.85,0.77,4,2271,7.2
AST-01680,ORG-019,BU-0119,Storage Bucket 1680,Storage Bucket,N/A,Production,On-Premise,eu-west-1,False,owner_156@corp.com,Email,Confidential,High,9,8,6,0.67,0.03,0.09,3,256,7.7
AST-01681,ORG-016,BU-0099,Database Server 1681,Database Server,Windows Server 2019,Production,On-Premise,ap-southeast-1,False,owner_106@corp.com,Data Analytics,Confidential,High,8,7,7,0.49,0.17,0.48,10,219,6.6
AST-01682,ORG-009,BU-0051,Database Server 1682,Database Server,Windows Server 2019,Production,Azure,us-east-1,False,owner_193@corp.com,Core Banking,Confidential,Critical,8,9,8,0.82,0.34,0.39,9,690,7.4
AST-01683,ORG-004,BU-0018,Domain Controller 1683,Domain Controller,Windows Server 2022,Production,On-Premise,eu-west-1,True,owner_198@corp.com,ERP,Internal,Medium,4,3,5,0.06,0.72,0.27,13,2191,6.0
AST-01684,ORG-003,BU-0016,Kubernetes Cluster 1684,Kubernetes Cluster,Linux,Production,On-Premise,ap-southeast-1,True,owner_333@corp.com,API Platform,Confidential,Critical,8,10,10,0.73,0.46,0.07,13,1053,10
AST-01685,ORG-017,BU-0104,File Server 1685,File Server,Linux,Production,Azure,ap-south-1,False,owner_231@corp.com,CRM,Highly Confidential,Critical,8,9,10,0.53,0.21,0.99,13,499,10
AST-01686,ORG-022,BU-0134,Database Server 1686,Database Server,Linux,Production,AWS,eu-west-1,False,owner_112@corp.com,Data Analytics,Confidential,Critical,9,8,9,0.51,0.26,0.25,6,2235,10
AST-01687,ORG-014,BU-0087,Web Server 1687,Web Server,Linux,Staging,AWS,ap-southeast-1,False,owner_90@corp.com,Data Analytics,Public,Low,1,1,1,0.27,0.11,0.45,0,1649,1.4
AST-01688,ORG-005,BU-0027,Kubernetes Cluster 1688,Kubernetes Cluster,Linux,Production,GCP,us-east-1,False,owner_119@corp.com,Supply Chain,Highly Confidential,High,7,7,6,0.85,0.38,0.73,5,863,4.5
AST-01689,ORG-017,BU-0106,Web Server 1689,Web Server,Linux,Staging,On-Premise,us-east-1,False,owner_400@corp.com,ERP,Internal,Medium,4,6,5,0.23,0.06,0.1,4,2232,5.9
AST-01690,ORG-004,BU-0024,IAM System 1690,IAM System,SaaS,Production,Azure,ap-southeast-1,False,owner_276@corp.com,HR System,Confidential,High,7,9,9,0.79,0.12,0.38,4,214,7.0
AST-01691,ORG-007,BU-0040,CI/CD Server 1691,CI/CD Server,Linux,Development,AWS,ap-south-1,False,owner_469@corp.com,CRM,Confidential,Medium,5,3,6,0.47,0.27,0.43,6,713,5.2
AST-01692,ORG-012,BU-0073,IoT Device 1692,IoT Device,Embedded,Production,Azure,us-east-1,False,owner_235@corp.com,Supply Chain,Confidential,Critical,10,10,10,0.83,0.2,0.12,0,1484,5.6
AST-01693,ORG-022,BU-0134,IoT Device 1693,IoT Device,Embedded,Production,GCP,ap-south-1,False,owner_419@corp.com,ERP,Highly Confidential,Critical,9,8,9,0.86,0.09,0.96,9,782,9.2
AST-01694,ORG-019,BU-0120,Application Server 1694,Application Server,Windows Server 2022,Development,GCP,eu-west-1,False,owner_466@corp.com,Customer Portal,Confidential,Low,3,1,3,0.2,0.12,0.41,12,1378,1.1
AST-01695,ORG-020,BU-0121,IAM System 1695,IAM System,SaaS,Production,GCP,ap-southeast-1,True,owner_418@corp.com,ERP,Highly Confidential,High,7,6,9,0.9,0.9,0.77,15,303,9.8
AST-01696,ORG-018,BU-0111,Payment Gateway 1696,Payment Gateway,Linux,Production,On-Premise,eu-west-1,True,owner_163@corp.com,CRM,Confidential,High,8,6,7,0.42,0.35,0.4,5,2093,7.8
AST-01697,ORG-024,BU-0146,Domain Controller 1697,Domain Controller,Windows Server 2022,Production,On-Premise,ap-southeast-1,True,owner_9@corp.com,API Platform,Highly Confidential,Critical,9,8,9,0.95,0.21,0.66,2,2303,8.3
AST-01698,ORG-013,BU-0079,IAM System 1698,IAM System,SaaS,Production,On-Premise,eu-west-1,False,owner_83@corp.com,DevOps Pipeline,Highly Confidential,Critical,10,8,10,0.84,0.13,0.53,11,1886,6.9
AST-01699,ORG-014,BU-0087,Firewall 1699,Firewall,Proprietary,Production,On-Premise,ap-south-1,True,owner_12@corp.com,API Platform,Highly Confidential,High,9,8,8,0.62,0.44,0.53,10,725,7.6
AST-01700,ORG-016,BU-0102,Workstation 1700,Workstation,Windows 11,Development,AWS,eu-west-1,False,owner_293@corp.com,Supply Chain,Confidential,Low,1,1,2,0.22,0.24,0.28,15,1187,1.3
AST-01701,ORG-021,BU-0125,Payment Gateway 1701,Payment Gateway,Linux,Production,On-Premise,eu-west-1,False,owner_151@corp.com,Customer Portal,Highly Confidential,High,6,6,7,0.81,0.4,0.77,4,1607,8.0
AST-01702,ORG-016,BU-0097,Workstation 1702,Workstation,Ubuntu 22.04,Production,GCP,ap-south-1,False,owner_138@corp.com,Communication,Confidential,High,6,7,9,0.86,0.24,0.16,11,1965,5.9
AST-01703,ORG-015,BU-0090,File Server 1703,File Server,Windows Server 2019,Production,Azure,ap-southeast-1,True,owner_116@corp.com,File Sharing,Highly Confidential,Critical,8,9,10,0.98,0.45,0.64,12,2207,10
AST-01704,ORG-010,BU-0059,Application Server 1704,Application Server,Windows Server 2022,Production,GCP,us-east-1,False,owner_79@corp.com,Email,Confidential,Medium,5,4,4,0.08,0.22,0.49,7,2245,3.0
AST-01705,ORG-005,BU-0028,Database Server 1705,Database Server,Linux,Production,On-Premise,ap-southeast-1,False,owner_75@corp.com,Customer Portal,Highly Confidential,Critical,10,10,10,0.59,0.3,0.78,8,2465,9.2
AST-01706,ORG-010,BU-0058,Database Server 1706,Database Server,Linux,Production,GCP,ap-south-1,False,owner_454@corp.com,Supply Chain,Confidential,High,6,8,6,0.67,0.32,0.32,2,2134,6.6
AST-01707,ORG-003,BU-0014,VPN Gateway 1707,VPN Gateway,Linux,Production,GCP,ap-southeast-1,False,owner_296@corp.com,File Sharing,Highly Confidential,High,9,6,7,0.73,0.1,0.54,1,265,6.1
AST-01708,ORG-012,BU-0074,IoT Device 1708,IoT Device,Embedded,Production,AWS,eu-west-1,False,owner_286@corp.com,CRM,Confidential,Critical,10,9,10,0.43,0.08,0.1,9,1759,8.7
AST-01709,ORG-024,BU-0142,Network Device 1709,Network Device,Proprietary,Production,On-Premise,us-east-1,False,owner_50@corp.com,Security Ops,Confidential,High,8,7,6,0.52,0.12,0.03,2,2252,9.4
AST-01710,ORG-020,BU-0123,IAM System 1710,IAM System,SaaS,Production,On-Premise,us-east-1,False,owner_465@corp.com,DevOps Pipeline,Highly Confidential,High,6,9,7,0.58,0.34,0.62,11,2038,6.6
AST-01711,ORG-013,BU-0083,VPN Gateway 1711,VPN Gateway,Linux,Production,Azure,ap-south-1,False,owner_140@corp.com,Core Banking,Confidential,Medium,5,6,5,0.22,0.18,0.23,8,2028,3.0
AST-01712,ORG-015,BU-0093,Email Server 1712,Email Server,Windows Server 2019,Production,GCP,us-east-1,False,owner_13@corp.com,Core Banking,Confidential,High,6,6,6,0.81,0.27,0.3,8,1489,8.9
AST-01713,ORG-020,BU-0122,IoT Device 1713,IoT Device,Embedded,Production,AWS,eu-west-1,True,owner_138@corp.com,DevOps Pipeline,Public,Medium,6,4,6,0.47,0.22,0.45,1,2481,7.3
AST-01714,ORG-023,BU-0138,VPN Gateway 1714,VPN Gateway,Linux,Production,On-Premise,us-east-1,False,owner_134@corp.com,Supply Chain,Highly Confidential,Critical,10,10,10,0.96,0.26,0.77,9,1016,10
AST-01715,ORG-020,BU-0124,Domain Controller 1715,Domain Controller,Windows Server 2022,Production,AWS,ap-southeast-1,False,owner_22@corp.com,Security Ops,Public,Medium,6,6,3,0.35,0.26,0.03,12,2478,2.8
AST-01716,ORG-013,BU-0076,IoT Device 1716,IoT Device,Embedded,Production,On-Premise,eu-west-1,True,owner_443@corp.com,HR System,Confidential,High,9,9,6,0.3,0.63,0.43,4,496,10
AST-01717,ORG-012,BU-0070,Storage Bucket 1717,Storage Bucket,N/A,Production,On-Premise,ap-southeast-1,False,owner_398@corp.com,Supply Chain,Highly Confidential,Critical,10,10,10,0.91,0.33,0.85,8,1174,10
AST-01718,ORG-017,BU-0110,Workstation 1718,Workstation,Ubuntu 22.04,Production,AWS,eu-west-1,True,owner_81@corp.com,File Sharing,Highly Confidential,Critical,10,9,9,0.32,0.45,0.7,7,765,7.2
AST-01719,ORG-010,BU-0059,SaaS Application 1719,SaaS Application,SaaS,Production,AWS,eu-west-1,True,owner_278@corp.com,Core Banking,Confidential,Medium,3,3,5,0.21,0.87,0.12,6,1435,5.1
AST-01720,ORG-005,BU-0028,API Gateway 1720,API Gateway,Linux,Staging,On-Premise,us-east-1,False,owner_374@corp.com,File Sharing,Highly Confidential,Medium,5,5,6,0.24,0.19,0.87,10,905,4.8
AST-01721,ORG-002,BU-0008,Database Server 1721,Database Server,Linux,Production,AWS,ap-southeast-1,False,owner_248@corp.com,ERP,Highly Confidential,High,7,6,8,0.87,0.18,1.0,15,2163,5.6
AST-01722,ORG-024,BU-0146,Network Device 1722,Network Device,Proprietary,Production,On-Premise,eu-west-1,False,owner_330@corp.com,API Platform,Confidential,Critical,10,10,8,0.49,0.24,0.32,13,2205,10
AST-01723,ORG-025,BU-0147,Payment Gateway 1723,Payment Gateway,Linux,Production,GCP,us-east-1,False,owner_415@corp.com,ERP,Confidential,Critical,9,10,10,0.4,0.16,0.32,12,772,9.5
AST-01724,ORG-001,BU-0002,Network Device 1724,Network Device,Proprietary,Production,On-Premise,eu-west-1,True,owner_446@corp.com,ERP,Confidential,Critical,9,8,10,0.35,0.59,0.26,15,139,10
AST-01725,ORG-005,BU-0027,SaaS Application 1725,SaaS Application,SaaS,Production,Azure,ap-southeast-1,False,owner_40@corp.com,Email,Highly Confidential,Medium,6,5,5,0.16,0.3,0.7,7,2182,2.9
AST-01726,ORG-009,BU-0055,SaaS Application 1726,SaaS Application,SaaS,Production,AWS,ap-southeast-1,False,owner_252@corp.com,API Platform,Highly Confidential,Critical,8,10,10,0.69,0.21,0.81,6,1776,10
AST-01727,ORG-015,BU-0096,CI/CD Server 1727,CI/CD Server,Linux,Development,On-Premise,eu-west-1,False,owner_373@corp.com,Email,Public,Medium,5,5,4,0.21,0.27,0.12,14,1323,4.7
AST-01728,ORG-002,BU-0009,VPN Gateway 1728,VPN Gateway,Linux,Production,On-Premise,us-east-1,True,owner_441@corp.com,Payment Processing,Confidential,High,9,9,8,0.44,0.54,0.38,0,626,6.1
AST-01729,ORG-016,BU-0102,Payment Gateway 1729,Payment Gateway,Linux,Production,AWS,ap-south-1,False,owner_318@corp.com,Email,Confidential,High,9,6,8,0.59,0.13,0.44,13,999,7.7
