remediation_id,vulnerability_id,asset_id,recommended_action,action_category,estimated_cost,implementation_time_days,expected_risk_reduction,expected_loss_reduction,priority,required_control,dependency,recommended_deadline,status
REM-000833,VULN-025830,AST-06135,Network segmentation,Network,187754,37,32.3,2008180,High,CTRL-0312,None,2026-10-25,Overdue
REM-000834,VULN-024159,AST-05284,Increase monitoring,Monitoring,67515,7,21.6,477007,Low,CTRL-0273,None,2026-09-18,Completed
REM-000835,VULN-002371,AST-08728,Apply least privilege,Identity,31095,18,37.1,154916,Low,CTRL-0166,Requires budget approval,2026-09-22,Overdue
REM-000836,VULN-003520,AST-01838,Disable account,Identity,2848,1,17.3,23769,Medium,CTRL-0061,None,2026-09-11,Overdue
REM-000837,VULN-018574,AST-07985,Deploy EDR,Endpoint,83174,18,41.0,261273,Critical,CTRL-0384,None,2026-09-30,Completed
REM-000838,VULN-017663,AST-01763,Encrypt database,Data Protection,88820,8,19.2,919104,Critical,CTRL-0052,Requires change approval,2026-09-18,In Progress
REM-000839,VULN-013978,AST-04617,Network segmentation,Network,198881,29,29.1,1663715,Medium,CTRL-0088,Requires budget approval,2026-10-11,Overdue
REM-000840,VULN-002818,AST-08391,Disable account,Identity,2304,9,23.0,28283,Medium,CTRL-0296,Requires vendor coordination,2026-09-26,Pending
REM-000841,VULN-019051,AST-07443,Deploy EDR,Endpoint,105158,17,53.3,980170,Low,CTRL-0085,Requires change approval,2026-09-29,Pending
REM-000842,VULN-000150,AST-00503,Enable backup,Resilience,55906,13,50.9,298711,Low,CTRL-0166,None,2026-09-19,Pending
REM-000843,VULN-009593,AST-02879,Fix cloud configuration,Cloud,7556,2,31.0,103402,High,CTRL-0294,Requires change approval,2026-09-20,Pending
REM-000844,VULN-007658,AST-00929,Enable backup,Resilience,49040,8,47.0,410811,Medium,CTRL-0336,Requires change approval,2026-09-14,Completed
REM-000845,VULN-026872,AST-03919,Deploy EDR,Endpoint,88558,21,51.3,501265,High,CTRL-0021,Requires budget approval,2026-10-06,Pending
REM-000846,VULN-020574,AST-00680,Apply least privilege,Identity,34362,11,29.4,262486,Low,CTRL-0290,None,2026-09-16,Pending
REM-000847,VULN-027105,AST-05714,Increase monitoring,Monitoring,41454,12,14.9,195984,High,CTRL-0079,Requires vendor coordination,2026-09-20,In Progress
REM-000848,VULN-010477,AST-00060,Apply least privilege,Identity,34101,14,37.1,175292,Low,CTRL-0043,Requires budget approval,2026-09-18,In Progress
REM-000849,VULN-005521,AST-07320,Fix cloud configuration,Cloud,8244,7,29.5,99987,Low,CTRL-0388,Requires downtime window,2026-09-15,Completed
REM-000850,VULN-015250,AST-02952,Network segmentation,Network,206145,28,30.3,1442556,Low,CTRL-0189,Requires vendor coordination,2026-10-10,In Progress
REM-000851,VULN-002881,AST-02342,Enable backup,Resilience,41644,7,55.8,146546,Low,CTRL-0219,Requires downtime window,2026-09-23,Pending
REM-000852,VULN-028764,AST-05550,Increase monitoring,Monitoring,68504,11,19.5,282546,High,CTRL-0329,Requires budget approval,2026-09-25,Overdue
REM-000853,VULN-003151,AST-08572,Upgrade firewall,Network,275095,30,35.7,3886784,Low,CTRL-0193,Requires budget approval,2026-10-16,Pending
REM-000854,VULN-016492,AST-00460,Patch vulnerability,Patching,21018,8,42.5,264153,Low,CTRL-0115,Requires change approval,2026-09-24,Completed
REM-000855,VULN-029449,AST-07618,Deploy EDR,Endpoint,78111,11,45.1,257878,Low,CTRL-0099,Requires vendor coordination,2026-09-16,Pending
REM-000856,VULN-024609,AST-05322,Fix cloud configuration,Cloud,11144,3,21.3,90229,Low,CTRL-0273,None,2026-09-10,Completed
REM-000857,VULN-004027,AST-09981,Enable backup,Resilience,30004,9,53.3,111968,Critical,CTRL-0100,Requires change approval,2026-09-22,Completed
REM-000858,VULN-027342,AST-00213,Enable backup,Resilience,46136,9,52.8,296037,Medium,CTRL-0070,Requires downtime window,2026-09-26,Completed
REM-000859,VULN-012413,AST-06695,Network segmentation,Network,177510,34,27.5,920443,Low,CTRL-0035,Requires downtime window,2026-10-09,Completed
REM-000860,VULN-008579,AST-08001,Encrypt database,Data Protection,42589,17,21.6,600584,High,CTRL-0365,Requires budget approval,2026-09-21,Completed
REM-000861,VULN-007054,AST-03512,Increase monitoring,Monitoring,53503,17,15.6,163314,High,CTRL-0110,Requires vendor coordination,2026-09-27,Pending
REM-000862,VULN-004485,AST-04742,Encrypt database,Data Protection,69014,13,21.6,353775,Low,CTRL-0298,Requires budget approval,2026-09-26,Pending
REM-000863,VULN-018383,AST-01805,Apply least privilege,Identity,39634,14,31.5,472927,Medium,CTRL-0056,Requires budget approval,2026-09-25,Pending
REM-000864,VULN-015227,AST-02954,Upgrade firewall,Network,245128,21,27.1,3266560,High,CTRL-0270,Requires change approval,2026-09-28,Overdue
REM-000865,VULN-002457,AST-04569,Apply least privilege,Identity,39498,8,30.1,305629,Critical,CTRL-0042,Requires change approval,2026-09-21,In Progress
REM-000866,VULN-003666,AST-04570,Fix cloud configuration,Cloud,9221,12,34.2,94194,Critical,CTRL-0162,Requires budget approval,2026-09-30,In Progress
REM-000867,VULN-023265,AST-09569,Network segmentation,Network,114523,31,34.0,1102955,High,CTRL-0244,None,2026-10-13,Pending
REM-000868,VULN-006112,AST-04353,Encrypt database,Data Protection,59919,11,22.7,370153,Low,CTRL-0038,None,2026-09-27,Pending
REM-000869,VULN-020737,AST-02977,Deploy EDR,Endpoint,95547,19,43.0,1417243,Medium,CTRL-0010,Requires downtime window,2026-09-28,Completed
REM-000870,VULN-003566,AST-05393,Patch vulnerability,Patching,13895,1,53.8,201059,High,CTRL-0224,Requires change approval,2026-09-15,In Progress
REM-000871,VULN-024310,AST-06212,Deploy EDR,Endpoint,63730,21,49.3,411315,Low,CTRL-0139,Requires vendor coordination,2026-09-29,Completed
REM-000872,VULN-007940,AST-05416,Disable account,Identity,1801,2,22.4,6731,High,CTRL-0314,Requires downtime window,2026-09-11,In Progress
REM-000873,VULN-019896,AST-09244,Enable backup,Resilience,42678,13,55.1,416876,Low,CTRL-0062,Requires downtime window,2026-09-28,Completed
REM-000874,VULN-020488,AST-00110,Enable MFA,Identity,29488,13,44.6,361619,Critical,CTRL-0257,Requires budget approval,2026-09-26,Pending
REM-000875,VULN-007189,AST-04992,Fix cloud configuration,Cloud,8367,12,21.6,43290,High,CTRL-0353,Requires downtime window,2026-09-22,Pending
REM-000876,VULN-028812,AST-01630,Fix cloud configuration,Cloud,7841,1,31.8,32015,Low,CTRL-0251,Requires budget approval,2026-09-11,Pending
REM-000877,VULN-006558,AST-01202,Apply least privilege,Identity,43670,18,26.8,402766,Low,CTRL-0384,Requires change approval,2026-09-29,In Progress
REM-000878,VULN-015619,AST-08596,Apply least privilege,Identity,32779,20,36.3,120794,Medium,CTRL-0368,None,2026-10-03,Completed
REM-000879,VULN-028808,AST-06316,Patch vulnerability,Patching,18783,8,65.9,235252,Medium,CTRL-0014,Requires downtime window,2026-09-20,Pending
REM-000880,VULN-013924,AST-08042,Increase monitoring,Monitoring,74516,6,16.8,1042520,High,CTRL-0095,None,2026-09-19,Pending
REM-000881,VULN-007790,AST-01480,Enable MFA,Identity,22515,11,42.6,78028,High,CTRL-0268,Requires change approval,2026-09-24,Completed
REM-000882,VULN-025206,AST-01220,Encrypt database,Data Protection,48481,7,29.6,254500,Low,CTRL-0306,Requires change approval,2026-09-16,Pending
REM-000883,VULN-004172,AST-05366,Disable account,Identity,2989,6,21.3,42302,Medium,CTRL-0221,Requires budget approval,2026-09-17,Pending
REM-000884,VULN-009727,AST-00887,Deploy EDR,Endpoint,98952,15,49.7,359971,High,CTRL-0201,Requires downtime window,2026-10-03,Completed
REM-000885,VULN-002159,AST-06578,Deploy EDR,Endpoint,57768,18,39.5,429417,Critical,CTRL-0024,Requires change approval,2026-09-25,Pending
REM-000886,VULN-011954,AST-01732,Disable account,Identity,1945,2,21.8,9952,Critical,CTRL-0296,Requires downtime window,2026-09-10,In Progress
REM-000887,VULN-023296,AST-03002,Enable backup,Resilience,48437,4,49.1,506515,Critical,CTRL-0372,None,2026-09-16,Pending
REM-000888,VULN-016729,AST-09866,Apply least privilege,Identity,27259,12,29.4,82930,Medium,CTRL-0129,Requires vendor coordination,2026-09-28,Pending
REM-000889,VULN-000595,AST-03040,Patch vulnerability,Patching,22433,11,54.6,233021,High,CTRL-0300,Requires change approval,2026-09-29,Completed
REM-000890,VULN-004645,AST-07316,Upgrade firewall,Network,189233,23,27.3,1849424,Medium,CTRL-0140,Requires budget approval,2026-10-10,In Progress
REM-000891,VULN-004233,AST-04703,Increase monitoring,Monitoring,44346,10,23.7,431710,Low,CTRL-0095,Requires budget approval,2026-09-24,Pending
REM-000892,VULN-002025,AST-09335,Deploy EDR,Endpoint,77503,11,32.9,655640,Low,CTRL-0377,Requires vendor coordination,2026-09-29,Pending
REM-000893,VULN-013897,AST-02931,Increase monitoring,Monitoring,48122,17,17.7,442358,Medium,CTRL-0005,Requires change approval,2026-09-26,Pending
REM-000894,VULN-025089,AST-01342,Deploy EDR,Endpoint,67565,13,46.9,997160,High,CTRL-0049,Requires downtime window,2026-09-17,Pending
REM-000895,VULN-029058,AST-01886,Disable account,Identity,2891,9,20.4,25075,High,CTRL-0268,None,2026-09-15,Completed
REM-000896,VULN-028569,AST-06438,Encrypt database,Data Protection,66552,16,28.3,332432,Low,CTRL-0167,Requires budget approval,2026-10-03,In Progress
REM-000897,VULN-022820,AST-09071,Network segmentation,Network,224364,30,26.2,1342132,Low,CTRL-0110,Requires downtime window,2026-10-08,Completed
REM-000898,VULN-004411,AST-04852,Enable MFA,Identity,14942,17,44.2,175955,Low,CTRL-0140,None,2026-10-02,Completed
REM-000899,VULN-018393,AST-08110,Deploy EDR,Endpoint,119466,19,50.4,1170287,High,CTRL-0165,Requires change approval,2026-09-24,Pending
REM-000900,VULN-023470,AST-08269,Deploy EDR,Endpoint,72310,20,51.0,989382,Low,CTRL-0253,Requires budget approval,2026-09-27,Completed
REM-000901,VULN-010031,AST-05932,Apply least privilege,Identity,40240,16,38.9,370479,Medium,CTRL-0100,Requires vendor coordination,2026-09-22,In Progress
REM-000902,VULN-002342,AST-02065,Network segmentation,Network,157514,31,29.2,1222235,Low,CTRL-0188,Requires budget approval,2026-10-14,Pending
REM-000903,VULN-000667,AST-09871,Patch vulnerability,Patching,17495,9,55.9,177365,Medium,CTRL-0182,None,2026-09-13,In Progress
REM-000904,VULN-005388,AST-06893,Increase monitoring,Monitoring,51495,15,22.9,550331,Low,CTRL-0358,Requires vendor coordination,2026-09-19,In Progress
REM-000905,VULN-029266,AST-07656,Patch vulnerability,Patching,14279,9,49.6,165469,Low,CTRL-0044,None,2026-09-17,Completed
REM-000906,VULN-012816,AST-08807,Network segmentation,Network,200678,34,31.0,785733,Low,CTRL-0027,Requires change approval,2026-10-22,In Progress
REM-000907,VULN-022886,AST-04969,Encrypt database,Data Protection,55560,18,18.1,604749,Low,CTRL-0110,Requires budget approval,2026-10-06,Pending
REM-000908,VULN-025223,AST-02045,Upgrade firewall,Network,299975,27,32.2,3343112,Medium,CTRL-0092,Requires budget approval,2026-10-13,Overdue
REM-000909,VULN-009050,AST-06979,Disable account,Identity,1981,8,20.9,8801,Medium,CTRL-0024,Requires change approval,2026-09-20,Completed
REM-000910,VULN-027176,AST-09505,Patch vulnerability,Patching,10857,9,68.5,159303,Critical,CTRL-0354,Requires budget approval,2026-09-17,Overdue
REM-000911,VULN-006494,AST-07260,Network segmentation,Network,208482,32,29.3,3046061,High,CTRL-0024,Requires budget approval,2026-10-07,Completed
REM-000912,VULN-023834,AST-04723,Patch vulnerability,Patching,20130,5,45.4,166564,Low,CTRL-0241,None,2026-09-15,Pending
REM-000913,VULN-026125,AST-05225,Increase monitoring,Monitoring,47230,5,14.7,377663,High,CTRL-0089,Requires change approval,2026-09-17,Pending
REM-000914,VULN-007832,AST-07197,Apply least privilege,Identity,36609,18,35.6,258590,Medium,CTRL-0240,Requires vendor coordination,2026-09-30,In Progress
REM-000915,VULN-005765,AST-09667,Enable MFA,Identity,16762,11,34.0,170131,Low,CTRL-0299,Requires change approval,2026-09-28,Overdue
REM-000916,VULN-016132,AST-02849,Enable backup,Resilience,32698,15,56.0,438912,Low,CTRL-0017,Requires vendor coordination,2026-10-01,Pending
REM-000917,VULN-010166,AST-04539,Fix cloud configuration,Cloud,11795,2,34.1,148885,High,CTRL-0197,Requires budget approval,2026-09-14,Pending
REM-000918,VULN-012423,AST-09770,Encrypt database,Data Protection,57295,7,22.3,785300,Low,CTRL-0245,None,2026-09-19,Completed
REM-000919,VULN-004036,AST-03801,Patch vulnerability,Patching,12657,10,43.8,87944,Medium,CTRL-0251,Requires vendor coordination,2026-09-16,Overdue
REM-000920,VULN-013841,AST-04563,Fix cloud configuration,Cloud,10637,1,33.3,114478,High,CTRL-0267,Requires vendor coordination,2026-09-09,Completed
REM-000921,VULN-011842,AST-01000,Upgrade firewall,Network,273359,23,26.5,1551919,Low,CTRL-0091,Requires downtime window,2026-10-06,Overdue
REM-000922,VULN-009730,AST-05391,Enable MFA,Identity,27343,10,35.8,178489,Medium,CTRL-0296,Requires change approval,2026-09-16,Overdue
REM-000923,VULN-018838,AST-07054,Network segmentation,Network,208996,36,40.0,2881514,Medium,CTRL-0110,Requires downtime window,2026-10-14,Completed
REM-000924,VULN-019377,AST-07565,Deploy EDR,Endpoint,88584,19,39.5,718299,Critical,CTRL-0080,Requires budget approval,2026-10-05,Completed
REM-000925,VULN-012870,AST-05217,Apply least privilege,Identity,36534,13,27.6,228883,Low,CTRL-0339,Requires vendor coordination,2026-09-19,Completed
REM-000926,VULN-009126,AST-01979,Fix cloud configuration,Cloud,11282,1,26.8,141921,Low,CTRL-0087,Requires downtime window,2026-09-12,Pending
REM-000927,VULN-000160,AST-00073,Network segmentation,Network,172288,36,31.7,1176024,Medium,CTRL-0389,Requires vendor coordination,2026-10-19,In Progress
REM-000928,VULN-028728,AST-04188,Increase monitoring,Monitoring,66554,5,19.5,659706,Medium,CTRL-0193,None,2026-09-22,Completed
REM-000929,VULN-004854,AST-07447,Deploy EDR,Endpoint,110532,13,53.3,912770,High,CTRL-0202,Requires budget approval,2026-09-28,Overdue
REM-000930,VULN-005414,AST-03516,Enable backup,Resilience,54405,11,54.6,777201,Low,CTRL-0285,Requires vendor coordination,2026-09-27,In Progress
REM-000931,VULN-006772,AST-02955,Upgrade firewall,Network,266150,23,32.0,3236582,High,CTRL-0054,Requires change approval,2026-10-03,In Progress
REM-000932,VULN-028849,AST-03223,Disable account,Identity,1787,9,23.2,22082,Medium,CTRL-0364,Requires vendor coordination,2026-09-20,Pending
REM-000933,VULN-029133,AST-04037,Apply least privilege,Identity,41043,15,34.7,431633,Critical,CTRL-0283,Requires change approval,2026-09-28,In Progress
REM-000934,VULN-001591,AST-03701,Upgrade firewall,Network,267198,25,35.3,3766750,High,CTRL-0180,None,2026-10-06,Completed
REM-000935,VULN-015244,AST-03724,Deploy EDR,Endpoint,60290,24,40.7,707768,Medium,CTRL-0388,Requires change approval,2026-10-08,In Progress
REM-000936,VULN-012681,AST-09197,Increase monitoring,Monitoring,64797,5,22.0,501594,High,CTRL-0185,None,2026-09-12,In Progress
REM-000937,VULN-029695,AST-02323,Upgrade firewall,Network,172026,28,30.6,1419941,Critical,CTRL-0279,Requires change approval,2026-10-08,In Progress
REM-000938,VULN-016273,AST-07720,Fix cloud configuration,Cloud,13559,8,29.2,117238,Critical,CTRL-0258,Requires change approval,2026-09-19,Pending
REM-000939,VULN-024116,AST-03135,Encrypt database,Data Protection,64260,17,26.1,817705,Low,CTRL-0274,Requires change approval,2026-10-01,Completed
REM-000940,VULN-020871,AST-03549,Network segmentation,Network,162826,37,32.0,1358474,Medium,CTRL-0338,Requires downtime window,2026-10-14,Pending
REM-000941,VULN-008715,AST-09246,Enable MFA,Identity,19775,14,33.4,106130,High,CTRL-0164,Requires budget approval,2026-09-29,Pending
REM-000942,VULN-013325,AST-02270,Enable backup,Resilience,57440,7,59.4,405876,High,CTRL-0161,Requires vendor coordination,2026-09-20,Pending
REM-000943,VULN-020906,AST-06189,Enable backup,Resilience,40402,3,48.3,277149,Low,CTRL-0042,None,2026-09-19,Pending
REM-000944,VULN-017237,AST-09144,Increase monitoring,Monitoring,65124,9,21.0,437735,High,CTRL-0086,Requires vendor coordination,2026-09-27,In Progress
REM-000945,VULN-022955,AST-09851,Encrypt database,Data Protection,64121,16,25.1,194453,Medium,CTRL-0249,Requires downtime window,2026-09-22,Completed
REM-000946,VULN-005908,AST-09585,Upgrade firewall,Network,267348,27,34.5,1788851,Low,CTRL-0208,Requires vendor coordination,2026-10-13,In Progress
REM-000947,VULN-005538,AST-03016,Deploy EDR,Endpoint,64030,22,53.6,621655,Medium,CTRL-0011,Requires vendor coordination,2026-09-29,In Progress
REM-000948,VULN-001708,AST-05889,Fix cloud configuration,Cloud,9126,1,30.3,29231,Low,CTRL-0165,Requires downtime window,2026-09-10,In Progress
REM-000949,VULN-007195,AST-04770,Apply least privilege,Identity,22524,17,33.6,250175,High,CTRL-0283,Requires change approval,2026-10-01,Completed
REM-000950,VULN-009586,AST-04204,Disable account,Identity,2379,11,20.1,21802,High,CTRL-0351,Requires downtime window,2026-09-29,Completed
REM-000951,VULN-001510,AST-00618,Enable MFA,Identity,26070,6,35.1,307268,Medium,CTRL-0382,Requires vendor coordination,2026-09-14,Completed
REM-000952,VULN-019484,AST-00724,Patch vulnerability,Patching,14118,6,57.0,62055,Critical,CTRL-0259,None,2026-09-24,Completed
REM-000953,VULN-020420,AST-01473,Patch vulnerability,Patching,16021,4,44.7,105847,High,CTRL-0184,Requires downtime window,2026-09-15,Pending
REM-000954,VULN-021573,AST-06809,Network segmentation,Network,183650,32,32.6,1372955,High,CTRL-0238,Requires budget approval,2026-10-07,Pending
REM-000955,VULN-023213,AST-05732,Upgrade firewall,Network,189126,25,28.9,1110213,Low,CTRL-0267,None,2026-10-13,Pending
REM-000956,VULN-000905,AST-00807,Disable account,Identity,1401,1,18.8,4502,Medium,CTRL-0039,Requires change approval,2026-09-19,In Progress
REM-000957,VULN-014883,AST-03334,Disable account,Identity,2112,5,22.7,9340,High,CTRL-0140,Requires vendor coordination,2026-09-20,Pending
REM-000958,VULN-025506,AST-09598,Apply least privilege,Identity,37560,20,40.7,223256,Medium,CTRL-0185,Requires change approval,2026-09-24,Completed
REM-000959,VULN-001207,AST-04235,Fix cloud configuration,Cloud,7556,3,30.9,45082,Low,CTRL-0373,Requires change approval,2026-09-19,Completed
REM-000960,VULN-004639,AST-04628,Patch vulnerability,Patching,15720,1,46.7,180618,Low,CTRL-0163,Requires vendor coordination,2026-09-12,Completed
REM-000961,VULN-026708,AST-06005,Network segmentation,Network,177320,31,29.3,2012998,High,CTRL-0254,None,2026-10-11,Pending
REM-000962,VULN-023749,AST-00084,Fix cloud configuration,Cloud,12869,6,22.0,91911,Medium,CTRL-0217,None,2026-09-20,Pending
REM-000963,VULN-029079,AST-01906,Enable backup,Resilience,53094,5,37.1,711780,Medium,CTRL-0360,Requires change approval,2026-09-20,Pending
REM-000964,VULN-005068,AST-03183,Increase monitoring,Monitoring,69468,13,15.9,712960,Medium,CTRL-0386,None,2026-09-27,Pending
REM-000965,VULN-025722,AST-01171,Apply least privilege,Identity,31615,8,30.4,294364,Low,CTRL-0001,Requires change approval,2026-09-12,Overdue
REM-000966,VULN-025657,AST-06155,Increase monitoring,Monitoring,70837,13,17.9,890544,Low,CTRL-0101,None,2026-09-18,Overdue
REM-000967,VULN-014856,AST-07006,Apply least privilege,Identity,25625,7,26.2,299880,Medium,CTRL-0026,Requires downtime window,2026-09-18,In Progress
REM-000968,VULN-002132,AST-05815,Increase monitoring,Monitoring,39862,14,22.6,178078,Medium,CTRL-0079,Requires downtime window,2026-09-19,In Progress
REM-000969,VULN-009469,AST-03573,Enable backup,Resilience,44199,6,41.5,286728,Low,CTRL-0309,Requires change approval,2026-09-23,Completed
REM-000970,VULN-011193,AST-05168,Upgrade firewall,Network,250123,22,27.7,1116121,Low,CTRL-0080,Requires change approval,2026-10-08,Pending
REM-000971,VULN-005815,AST-06447,Network segmentation,Network,178416,27,40.7,1740602,Critical,CTRL-0226,Requires vendor coordination,2026-10-10,In Progress
REM-000972,VULN-009078,AST-02020,Enable MFA,Identity,20571,8,31.3,68736,Low,CTRL-0198,Requires change approval,2026-09-14,In Progress
REM-000973,VULN-016912,AST-03571,Fix cloud configuration,Cloud,9228,2,23.6,132681,High,CTRL-0089,Requires budget approval,2026-09-09,Completed
REM-000974,VULN-014973,AST-02619,Enable MFA,Identity,27550,17,43.1,285311,Medium,CTRL-0230,Requires change approval,2026-09-26,In Progress
REM-000975,VULN-012322,AST-03107,Apply least privilege,Identity,33928,19,38.8,262592,Low,CTRL-0108,Requires budget approval,2026-09-25,Completed
REM-000976,VULN-011691,AST-04290,Upgrade firewall,Network,298602,24,28.0,3002792,High,CTRL-0136,Requires downtime window,2026-10-03,Pending
REM-000977,VULN-025161,AST-04069,Deploy EDR,Endpoint,83789,11,32.3,1238375,High,CTRL-0039,Requires vendor coordination,2026-09-29,Completed
REM-000978,VULN-029986,AST-08077,Disable account,Identity,2514,9,18.6,36321,Low,CTRL-0038,Requires change approval,2026-09-25,Overdue
REM-000979,VULN-012152,AST-01113,Enable backup,Resilience,45715,6,51.7,617014,Critical,CTRL-0240,Requires downtime window,2026-09-10,In Progress
REM-000980,VULN-003976,AST-09198,Upgrade firewall,Network,141559,23,29.2,986823,Low,CTRL-0349,Requires budget approval,2026-09-27,Overdue
REM-000981,VULN-025083,AST-04734,Disable account,Identity,1427,1,16.8,19951,Medium,CTRL-0162,None,2026-09-09,Completed
REM-000982,VULN-014934,AST-03803,Fix cloud configuration,Cloud,11118,8,29.0,133478,Medium,CTRL-0258,Requires change approval,2026-09-14,In Progress
REM-000983,VULN-016632,AST-04543,Patch vulnerability,Patching,19026,11,70.5,238727,High,CTRL-0015,Requires downtime window,2026-09-25,Pending
REM-000984,VULN-021162,AST-08842,Encrypt database,Data Protection,74001,13,19.6,934508,Critical,CTRL-0123,Requires budget approval,2026-09-19,Pending
REM-000985,VULN-020292,AST-05414,Disable account,Identity,2821,7,20.4,13485,Medium,CTRL-0097,Requires vendor coordination,2026-09-18,In Progress
REM-000986,VULN-027444,AST-08812,Deploy EDR,Endpoint,61977,15,49.9,268192,Low,CTRL-0218,Requires vendor coordination,2026-09-23,In Progress
REM-000987,VULN-009674,AST-08407,Enable MFA,Identity,21849,7,36.8,77516,Low,CTRL-0326,Requires budget approval,2026-09-18,In Progress
REM-000988,VULN-018465,AST-07383,Deploy EDR,Endpoint,115183,19,45.5,773160,Medium,CTRL-0357,None,2026-09-25,Pending
REM-000989,VULN-005138,AST-07533,Upgrade firewall,Network,231906,26,29.5,3327130,Medium,CTRL-0269,Requires budget approval,2026-10-02,Overdue
REM-000990,VULN-000205,AST-04632,Upgrade firewall,Network,228188,27,24.5,2688810,Medium,CTRL-0325,None,2026-10-13,Pending
REM-000991,VULN-016730,AST-07345,Enable backup,Resilience,36188,7,44.0,511656,Low,CTRL-0260,Requires vendor coordination,2026-09-16,Completed
REM-000992,VULN-006181,AST-09096,Increase monitoring,Monitoring,62874,7,17.2,459166,Low,CTRL-0389,None,2026-09-11,In Progress
REM-000993,VULN-015375,AST-07955,Increase monitoring,Monitoring,54455,16,16.3,743497,Low,CTRL-0271,Requires downtime window,2026-09-20,In Progress
REM-000994,VULN-028358,AST-08091,Upgrade firewall,Network,259269,21,24.2,3697439,Medium,CTRL-0343,None,2026-09-30,Pending
REM-000995,VULN-016921,AST-00147,Disable account,Identity,2736,1,20.8,10399,Low,CTRL-0387,Requires budget approval,2026-09-06,Overdue
REM-000996,VULN-001414,AST-08096,Deploy EDR,Endpoint,58416,17,33.7,705589,High,CTRL-0185,Requires change approval,2026-09-26,Pending
REM-000997,VULN-017535,AST-01740,Enable backup,Resilience,44940,9,47.2,538101,Low,CTRL-0319,None,2026-09-16,In Progress
REM-000998,VULN-015257,AST-04502,Patch vulnerability,Patching,22274,2,56.0,149889,Critical,CTRL-0282,Requires change approval,2026-09-13,Completed
REM-000999,VULN-002942,AST-07497,Enable backup,Resilience,42814,3,36.0,535827,Medium,CTRL-0011,Requires downtime window,2026-09-19,Pending
REM-001000,VULN-014691,AST-00498,Deploy EDR,Endpoint,63222,19,53.6,506935,Low,CTRL-0126,Requires downtime window,2026-09-23,Pending
REM-001001,VULN-016970,AST-04199,Enable MFA,Identity,16188,15,37.2,170022,High,CTRL-0348,Requires change approval,2026-09-23,Completed
REM-001002,VULN-000367,AST-04887,Upgrade firewall,Network,203416,31,26.4,2160304,Low,CTRL-0121,None,2026-10-09,Completed
REM-001003,VULN-003748,AST-05350,Disable account,Identity,2652,6,21.8,32538,Medium,CTRL-0359,Requires change approval,2026-09-20,Overdue
REM-001004,VULN-024345,AST-00416,Disable account,Identity,1988,5,14.9,17063,High,CTRL-0118,Requires downtime window,2026-09-16,Completed
REM-001005,VULN-022803,AST-00870,Fix cloud configuration,Cloud,9659,12,29.1,128131,Low,CTRL-0354,Requires downtime window,2026-09-29,In Progress
REM-001006,VULN-007782,AST-06533,Disable account,Identity,2261,11,21.3,24188,High,CTRL-0275,Requires change approval,2026-09-21,Pending
REM-001007,VULN-023190,AST-08265,Encrypt database,Data Protection,65478,20,27.9,750604,Medium,CTRL-0265,Requires vendor coordination,2026-10-02,Pending
REM-001008,VULN-008380,AST-02977,Apply least privilege,Identity,31546,8,38.0,300816,Low,CTRL-0164,Requires vendor coordination,2026-09-20,Completed
REM-001009,VULN-003442,AST-08237,Enable MFA,Identity,21220,4,37.3,245839,Medium,CTRL-0213,Requires downtime window,2026-09-13,Pending
REM-001010,VULN-018608,AST-07828,Apply least privilege,Identity,21015,16,26.3,136537,Medium,CTRL-0185,Requires vendor coordination,2026-10-01,Pending
REM-001011,VULN-004497,AST-05162,Enable backup,Resilience,55032,5,47.6,673769,Low,CTRL-0059,Requires change approval,2026-09-15,Completed
REM-001012,VULN-020031,AST-04726,Enable backup,Resilience,50539,14,51.4,581465,Low,CTRL-0363,Requires change approval,2026-09-18,Pending
REM-001013,VULN-027134,AST-03931,Patch vulnerability,Patching,10851,2,51.7,84168,Medium,CTRL-0156,Requires downtime window,2026-09-10,In Progress
REM-001014,VULN-001801,AST-06181,Enable backup,Resilience,53160,11,48.6,357917,High,CTRL-0212,None,2026-09-26,In Progress
REM-001015,VULN-021448,AST-02683,Increase monitoring,Monitoring,56798,17,24.0,455759,High,CTRL-0139,None,2026-09-26,Pending
REM-001016,VULN-020518,AST-03549,Fix cloud configuration,Cloud,13686,8,25.0,147857,Critical,CTRL-0057,None,2026-09-22,Pending
REM-001017,VULN-013508,AST-03365,Disable account,Identity,1820,8,21.8,16472,High,CTRL-0010,None,2026-09-17,Pending
REM-001018,VULN-024498,AST-05092,Disable account,Identity,1983,1,17.1,6093,High,CTRL-0068,Requires vendor coordination,2026-09-14,In Progress
REM-001019,VULN-028383,AST-01248,Disable account,Identity,1419,11,20.0,15708,Medium,CTRL-0329,Requires budget approval,2026-09-26,Completed
REM-001020,VULN-004359,AST-09751,Enable backup,Resilience,33742,10,45.8,448157,High,CTRL-0202,Requires vendor coordination,2026-09-21,Pending
REM-001021,VULN-024516,AST-08741,Disable account,Identity,2295,1,17.2,19617,Low,CTRL-0350,Requires vendor coordination,2026-09-08,Pending
REM-001022,VULN-005217,AST-09645,Enable backup,Resilience,38845,3,51.7,372912,Medium,CTRL-0339,Requires downtime window,2026-09-18,Pending
REM-001023,VULN-006499,AST-06919,Enable backup,Resilience,52100,9,45.5,749346,Medium,CTRL-0136,Requires vendor coordination,2026-09-26,Pending
